,BukkenName,Price,Address,Space,Type,Belanda,Build,Line,Station,Walk,DaysAgo,City,Street,Number,Latitude,Longitude
2171,サンパーク東京銀座,3980,東京都中央区入船１,39.6,1LDK,5.5,1982-04-01,東京メトロ日比谷線,八丁堀,3,15171,東京都,中央区,入船１,35.673121,139.7776686
2172,モナーク千駄木,3980,東京都文京区千駄木３,44.91,1LDK,7.45,1977-01-01,ＪＲ山手線,西日暮里,5,17087,東京都,文京区,千駄木３,35.7273826,139.7620134
2173,秀和元代々木アネックス,3980,東京都渋谷区元代々木町,42.58,1LDK+S（納戸）,1.36,1980-02-01,小田急線,代々木八幡,3,15961,東京都,渋谷区,元代々木町,35.6713795,139.6853944
2174,ソフィアお茶の水,3980,東京都文京区湯島２,36.68,1LDK,4.12,1983-09-01,東京メトロ丸ノ内線,御茶ノ水,6,14653,東京都,文京区,湯島２,35.7048255,139.7658469
2175,マンションヴィップ新宿御苑,3980,東京都新宿区大京町,37.5,1DK,4.01,1979-08-01,都営大江戸線,国立競技場,3,16145,東京都,新宿区,大京町,35.6843592,139.7169877
2176,秀和元代々木アネックス,3980,東京都渋谷区元代々木町,42.58,1LDK+S（納戸）,1.36,1980-02-01,小田急線,代々木八幡,3,15961,東京都,渋谷区,元代々木町,35.6713795,139.6853944
2177,パラッツオ赤坂,3980,東京都港区赤坂２,34.96,1DK,2.96,1970-03-01,東京メトロ千代田線,赤坂,5,19585,東京都,港区,赤坂２,35.6711124,139.7390173
2178,モナーク千駄木,3980,東京都文京区千駄木３,44.91,1LDK,7.45,1977-01-01,ＪＲ山手線,西日暮里,5,17087,東京都,文京区,千駄木３,35.7273826,139.7620134
2179,ハイメゾン千石,3980,東京都文京区千石２-20-6,50.49,2DK,7.26,1978-12-01,都営三田線,千石,7,16388,東京都,文京区,千石,35.7248756,139.7397757
2180,日興パレス文京,3980,東京都文京区本駒込４,54.72,2LDK,2.16,1979-02-01,ＪＲ山手線,田端,11,16326,東京都,文京区,本駒込４,35.7317024,139.7556247
2181,ハイメゾン千石,3980,東京都文京区千石２,50.49,2DK,7.26,1978-12-01,都営三田線,千石,7,16388,東京都,文京区,千石２,35.7232559,139.7402946
2182,光建ハイム日本橋,3980,東京都中央区日本橋箱崎町,43.59,1LDK,9.72,1978-11-01,東京メトロ半蔵門線,水天宮前,4,16418,東京都,中央区,日本橋箱崎町,35.6802467,139.787575
2183,ワコーレ第二千石,3980,東京都文京区千石４,46.44,2LDK,3.9,1986-09-01,都営三田線,千石,3,13557,東京都,文京区,千石４,35.7289907,139.7402946
2184,川口アパートメント,3980,東京都文京区春日２,71.61,2LDK,,1964-09-01,東京メトロ丸ノ内線,後楽園,10,21592,東京都,文京区,春日２,35.7122976,139.741572
2185,コージーコート西落合,3980,東京都新宿区西落合１,38.88,1LDK,3.75,2008-03-01,都営大江戸線,落合南長崎,3,5705,東京都,新宿区,西落合１,35.7214443,139.6815661
2186,モナーク千駄木,3980,東京都文京区千駄木３,44.91,1LDK,7.45,1977-01-01,東京メトロ千代田線,千駄木,7,17087,東京都,文京区,千駄木３,35.7273826,139.7620134
2187,松濤ハウス,3980,東京都渋谷区松濤２-7-12,38.1,1LDK,8.7,1978-12-01,京王井の頭線,神泉,8,16388,東京都,渋谷区,松濤,35.6603029,139.6891464
2188,キョウエイハイツ田町,3980,東京都港区芝浦２-2-15,42.15,1LDK,7.26,1980-09-01,ＪＲ山手線,田町,10,15748,東京都,港区,芝浦,35.6455994,139.7552638
