,BukkenName,Price,Address,Space,Type,Belanda,Build,Line,Station,Walk,DaysAgo,City,Street,Number,Latitude,Longitude
2038,けやきハウス早稲田,3780,東京都新宿区西早稲田１-23-14,49.69,1LDK,,1979-03-01,都電荒川線,早稲田,2,16298,東京都,新宿区,西早稲田,35.712114,139.71891
2039,レガリアレジデンス千石ファディックス,3780,東京都文京区千石１,35.77,1LDK,,2006-07-01,都営三田線,千石,5,6314,東京都,文京区,千石１,35.7259411,139.7441268
2040,デュオ・スカーラ新宿,3780,東京都新宿区新宿５,31.18,1K,6.72,2002-04-01,東京メトロ丸ノ内線,新宿三丁目,4,7866,東京都,新宿区,新宿５,35.6938641,139.7070931
2041,デュオ・スカーラ新宿,3780,東京都新宿区新宿５,31.18,1K,6.72,2002-04-01,東京メトロ丸ノ内線,新宿三丁目,4,7866,東京都,新宿区,新宿５,35.6938641,139.7070931
2042,けやきハウス早稲田,3780,東京都新宿区西早稲田１,49.69,1LDK,11.89,1979-03-01,東京メトロ東西線,早稲田,11,16298,東京都,新宿区,西早稲田１,35.710463,139.7198607
2043,マンション文京小桜橋,3780,東京都文京区水道１-５－６,38.94,2DK,5.42,1989-06-01,東京メトロ有楽町線,江戸川橋,9,12553,東京都,文京区,水道１-５－６,35.7093571,139.740194
2044,クレール三田,3780,東京都港区三田４-1-32,39.31,1LDK,5.5,1978-10-01,都営三田線,三田,9,16449,東京都,港区,三田,35.64705480000001,139.7406571
2045,クレール三田,3780,東京都港区三田４,39.31,1LDK,5.5,1978-10-01,都営三田線,三田,9,16449,東京都,港区,三田４,35.6435635,139.7390173
2046,秀和弥生町レジデンス,3780,東京都文京区弥生２,44.1,1LDK,6.24,1969-12-01,東京メトロ千代田線,根津,6,19675,東京都,文京区,弥生２,35.7157876,139.764569
2047,デュオ・スカーラ新宿,3780,東京都新宿区新宿５,31.18,1K,6.72,2002-04-01,東京メトロ丸ノ内線,新宿三丁目,4,7866,東京都,新宿区,新宿５,35.6938641,139.7070931
